doc,cq,covered,rows,required_vars,query_path
dsa_030.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_031.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_031.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_031.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_031.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_032.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_032.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_032.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_032.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_033.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_033.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_033.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_033.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_034.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_034.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_034.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_034.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_035.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_035.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_035.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_035.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_036.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_036.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_036.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_036.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_037.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_037.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_037.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_037.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_038.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_038.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_038.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_038.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_039.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_039.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_039.ttl,CQ3,1,1,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_039.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_040.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
dsa_040.ttl,CQ2,1,1,"dataset,duration,disposal",queries/CQ2_dataset_retention_disposal.sparql
dsa_040.ttl,CQ3,1,2,"transfer,dest,mechanism,safeguard",queries/CQ3_transfer_mechanism_safeguard.sparql
dsa_040.ttl,CQ4,1,1,"pa,pdCat",queries/CQ4_pa_datacategories.sparql
dsa_041.ttl,CQ1,1,1,"pa,purpose,lb",queries/CQ1_pa_purpose_legalbasis.sparql
